Pais,Este país está entre os 15 maiores produtores de petróleo do mundo?,Este país possui um dos 10 maiores PIBs nominais do mundo?,Este país tem mais de 200 milhões de habitantes?,Este país possui armas nucleares reconhecidas?,Este país é membro da OCDE?,Este país é classificado como de alta renda pelo Banco Mundial?,Este país tem mais de 100 habitantes por km²?,Este país é banhado pelo Mar Baltico,Este país é banhado pelo Mar Negro?,Este país tem costa no Oceano Atlântico?,Este país tem costa no Oceano Índico?,Este país tem costa no Oceano Pacífico?,Este país possui uma região desertica ?,Este país faz fronteira terrestre com pelo menos um país de continente diferente?,Este país fica na África?,Este país fica na Europa?,Este país fica na Ásia?,Este país fica nas Américas?,Este país fica na Oceania?,Este país fica na África Subsaariana?,Este país fica no Norte de África?,Este país fica na África Central?,Este país fica no Sul de África?,Este país fica na África Ocidental?,Este país fica na África Oriental?,Este país fica no Caribe?,Este país fica na Ásia Ocidental (Oriente Médio)?,Este país fica no Sudeste Asiático?,Este país fica na Ásia Central?,Este país fica no Sul da Ásia?,Este país fica no Leste Asiático?,Este país fica no Sul da Europa?,Este país fica no Leste da Europa?,Este país fica no Norte da Europa?,Este país fica na América do Norte?,Este país fica na América do Sul?,Este país fica na América Central?,Este país não possui saída para o mar (landlocked)?,Este país é uma ilha ou nação insular?,O país faz fronteira terrestre com 5 ou mais países?,Este país faz fronteira com a Rússia?,Este país faz fronteira com a China?,Este país fica no hemisfério norte?,Este país fica no hemisfério sul ?,Este país fica no hemisfério ocidental?,A área territorial é maior que 100.000 km²?,A área territorial é maior que 500.000 km²?,Este país tem mais de 1 fuso horário?,Este país tem mais de 50 milhões de habitantes?,Este país tem menos de 1 milhão de habitantes?,O país possui apenas uma língua oficial reconhecida em todo o nível nacional?,O idioma oficial principal é o Inglês?,O Árabe é um dos idiomas oficiais?,O Francês é um dos idiomas oficiais?,O Espanhol é o idioma oficial?,O Português é o idioma oficial?,Neste país a condução é pela esquerda?,Este país usa o Euro como moeda oficial?,Este país usa o Dólar americano como moeda oficial?,O país possui e emite sua própria moeda soberana?,O território deste país é um arquipélago?,A Linha do Equador corta este país?,Este país é banhado pelo Mar Mediterrâneo?,O principal sistema de escrita do país utiliza um alfabeto não Latim ?,O Cristianismo é a maior ou a segunda maior religião deste país?,O Islamismo é a maior ou a segunda maior religião deste país?,O Hinduísmo é a maior ou a segunda maior religião deste país?,O Budismo é a maior ou a segunda maior religião deste país?,A maioria da população não possui afiliação religiosa?,Este país é membro do G20?,Este país é membro do G7?,Este país faz parte do BRICS?,Este país é membro da União Europeia?,"O país possui uma família real própria ou um monarca residente (rei, rainha, imperador, emir ou sultão)",O país foi uma colônia importante ou tem forte herança do Império Britânico (Inglaterra)?,O país foi uma colônia importante ou tem forte herança de Portugal ou Espanha?,Este país fez parte da antiga União Soviética?,A bandeira tem a cor verde?,A bandeira possui estrelas?,A bandeira é tricolor (três faixas)?,"A bandeira possui símbolo, emblema ou brasão?",A bandeira tem a cor amarela ou dourada?,A seleção masculina de futebol já venceu uma Copa do Mundo?,O país já sediou uma Olimpíada de Verão ou uma Copa do Mundo FIFA?,Este país possui uma das Maravilhas Mundo?
AFG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
ALB,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
AND,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
AGO,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
ATG,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
ARG,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
ARM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AUS,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
AUT,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
