iso_code,,q86_hostedWorldCupOrOlympics,q87_isMicronesia,q88_isCaribbean,q89_isTop30TouristArrivals,q90_hasOlympicMedal,q91_hasFormulaOneGrandPrix,q92_hasUnescoSites10Plus,q93_producesWineCommercially,q94_hasMountainOver4000m,q95_capitalInTropics,q96_hasMajorRiver,q97_hasVolcano,q98_hasCoralReef,q99_independenceBefore1900,q100_wasColonizedByFrance,q101_flagHasBlue,q102_isArabWorld,q103_isHighlyUrbanized,q104_isOpecMember,q105_gdpOver500B,q106_hasMajorAirlineHub,q107_populationBetween10MAnd50M,q108_hasMetroSystem,q109_producesCocoaOrCoffee,q110_hasNuclearPowerPlant
AFG,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ALB,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ARE,,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1
ARG,,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1
ARM,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ATG,,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AUS,,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0
AUT,,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
AZE,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
BDI,,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
BEL,,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1
BEN,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
BFA,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
BGD,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
BGR,,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
